Sample in Buffer,Sample in Window,TRIGGER,design_1_i/design_1_i/usp_rf_data_converter_0_m00_axis_tdata_1[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
0,0,0,-99925107108151716
1,1,0,-84162302251303252
2,2,0,-59392263781548296
3,3,0,-41377452946817204
4,4,0,251079647833883520
5,5,0,273597886492312444
6,6,0,287108977438229468
7,7,0,301745899565220908
8,8,0,318634621512975464
9,9,0,570839722573957060
10,10,0,577595603056592836
11,11,0,583224793351063544
12,12,0,593358407911344160
13,13,0,602365710250543180
14,14,0,613624812400281748
15,15,0,717209356201626072
16,16,0,728468080390572528
17,17,0,740853116810037764
18,18,0,739727508960971300
19,19,0,738601523156355640
20,20,0,683431620253059464
21,21,0,673298435192129908
22,22,0,683431637433977136
23,23,0,665417135840037212
24,24,0,656409558630795548
25,25,0,465004031800772280
26,26,0,462751991464986224
27,27,0,442485621339457092
28,28,0,433477923863528952
29,29,0,410959839826019844
30,30,0,406456085577467316
31,31,0,119347228401992116
32,32,0,95703158551740776
33,33,0,75436479188566372
34,34,0,52918274888040708
35,35,0,43910732034867404
36,36,0,-257553361846338392
37,37,0,-268812635792147356
38,38,0,-280071944103461832
39,39,0,-303716013949256676
40,40,0,-329612038228608072
41,41,0,-567180509220898780
42,42,0,-564929087367481368
43,43,0,-576188086439577664
44,44,0,-589699022762215484
45,45,0,-593076859924318292
46,46,0,-607713816414455944
47,47,0,-723683207652510204
48,48,0,-715801959841597956
49,49,0,-713550177209879072
50,50,0,-738320112601991728
51,51,0,-734942378521201200
52,52,0,-686527978142370208
53,53,0,-685402026697492852
54,54,0,-666261711095531852
55,55,0,-669639050039331192
56,56,0,-643743180381686000
57,57,0,-466974180544546480
58,58,0,-463596085678638692
59,59,0,-428693274466649636
60,60,0,-418559951967290912
61,61,0,-417433553835591088
62,62,0,-406174417323754968
63,63,0,-99925313272349132
64,64,0,-88666039322345904
65,65,0,-90917804772098364
66,66,0,-70651228485517604
67,67,0,-50384652202082500
68,68,0,262338749981786996
69,69,0,270220255490212764
70,70,0,302871180995986392
71,71,0,311878758211257388
72,72,0,332145248596657252
73,73,0,557329026770536340
74,74,0,573091814445418492
75,75,0,580973234057644028
76,76,0,584351174295291904
77,77,0,606869275517651004
78,78,0,615876852731611228
79,79,0,713831484682406440
80,80,0,721713076091226592
81,81,0,726216624176368136
82,82,0,741979136978586120
83,83,0,729594255178467896
84,84,0,678928158068312460
85,85,0,686809199712930188
86,86,0,663165421928843596
87,87,0,658661633320290672
88,88,0,658661616137275724
89,89,0,478514727605241488
90,90,0,449241123862349420
91,91,0,444737352436024896
92,92,0,422218959157200388
93,93,0,399700943838119380
94,94,0,392945114894304692
95,95,0,118221225416458676
96,96,0,91199387126727088
97,97,0,86695546979615068
98,98,0,70932879559622896
99,99,0,48414606542242004
100,100,0,-255301665108984668
101,101,0,-289078799756100532
102,102,0,-291331029074379752
103,103,0,-299212414326604848
104,104,0,-325108490142680128
105,105,0,-550292148060882856
106,106,0,-573936063283398620
107,107,0,-580692064021972976
108,108,0,-603209804467079168
109,109,0,-607713455634057264
110,110,0,-616720792327227456
111,111,0,-716927705131190776
112,112,0,-720305422031587860
113,113,0,-728186876003027428
114,114,0,-724809279356471784
115,115,0,-731564644439362108
116,116,0,-695535108677634444
117,117,0,-670765087387224424
118,118,0,-666261384680114484
119,119,0,-655002454326970652
120,120,0,-659506002417879328
121,121,0,-484988544694290076
122,122,0,-459092554776512108
123,123,0,-433196736654804516
124,124,0,-425315162426902040
125,125,0,-417433622555592152
126,126,0,-399419189683750344
127,127,0,-116813949314466260
128,128,0,-99925278911037836
129,129,0,-90917942210527556
130,130,0,-61644097953923320
131,131,0,-41377556027080908
132,132,0,253331310211236704
133,133,0,283731020013634444
134,134,0,284857091722576884
135,135,0,316382495276794900
136,136,0,327641958206669948
137,137,0,557328889331058608
138,138,0,566336569624233920
139,139,0,584350933778171920
140,140,0,597862144981338112
141,141,0,611372875145021532
142,142,0,627135645642655884
143,143,0,728468320912411132
144,144,0,723964858723994148
145,145,0,729594255177943572
146,146,0,723964635384121912
147,147,0,730720326887148064
148,148,0,694690894202538340
149,149,0,681179837620291956
150,150,0,678928089343068540
151,151,0,666542967027927340
152,152,0,654157999332657460
153,153,0,462752025824462528
154,154,0,458248323119974004
155,155,0,442485346463123032
156,156,0,435729981376562712
157,157,0,404204577825490412
158,158,0,399700651776148976
159,159,0,118221328491479532
160,160,0,102458454915154308
161,161,0,84443712804618588
162,162,0,70932707758833908
163,163,0,25896470959620316
164,164,0,-266560732898460476
165,165,0,-264309001805824908
166,166,0,-289079074640823284
167,167,0,-308219785379251216
168,168,0,-322856673149125700
169,169,0,-562676909597198252
170,170,0,-585195027995232216
171,171,0,-578440023691692040
172,172,0,-594202536491812924
173,173,0,-603210199604594756
174,174,0,-603210148068657308
175,175,0,-732690475629349404
176,176,0,-727060787112905168
177,177,0,-723683310732249648
178,178,0,-733816375535143444
179,179,0,-728186876000930324
180,180,0,-695535057136453992
181,181,0,-675268996251191688
182,182,0,-675268721375906164
183,183,0,-667387318948268340
184,184,0,-659505985235912996
185,185,0,-469226014719018652
186,186,0,-461344457667053168
187,187,0,-433196771016115780
188,188,0,-429818933853488664
189,189,0,-419685456730588684
190,190,0,-406174520407950796
191,191,0,-114561977703137748
192,192,0,-90917873493148068
193,193,0,-72903337547333980
194,194,0,-54888698513391884
195,195,0,-43629252764172476
196,196,0,257835012914938680
197,197,0,267968180795212708
198,198,0,293864256617317372
199,199,0,300619724785976344
200,200,0,332145351677183064
201,201,0,569714028823971780
202,202,0,564084598012381180
203,203,0,591106367581063152
204,204,0,597861973180549192
205,205,0,604617613142919280
206,206,0,622631960115939488
207,207,0,729594255174797792
208,208,0,732971748741614100
