Sample in Buffer,Sample in Window,TRIGGER,design_1_i/design_1_i/usp_rf_data_converter_0_m00_axis_tdata[127:0],design_1_i/design_1_i/usp_rf_data_converter_1_m00_axis_tvalid,design_1_i/design_1_i/xlconstant_1_dout
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
0,0,0,d6d2d672d609d5b1d54bd4f9d4a1d473,1,1
1,1,0,db0dda7fd9e4d959d8c9d838d7d0d73d,1,1
2,2,0,e0c0dffcdf3dde7fddbbdcfadc5bdba5,1,1
3,3,0,e799e6a6e5cbe4e5e3f8e33ae256e178,1,1
4,4,0,ef73ee61ed5cec64eb59ea77e970e884,1,1
5,5,0,f7e2f6b2f5c3f4a1f38ff298f17af066,1,1
6,6,0,008eff73fe74fd4dfc26fb0bf9eaf8e6,1,1
7,7,0,093b08470726060304e603d002b4019f,1,1
8,8,0,11ab10950f9d0e880d8b0c7b0b680a53,1,1
9,9,0,196e187e177416a51594149913a812a0,1,1
10,10,0,20081f441e6f1da41cd91bfb1b1f1a2c,1,1
11,11,0,259424df243c23a922ff2241218b20dd,1,1
12,12,0,298a292228b6283d27af272326a02621,1,1
13,13,0,2c052bc12b902b312b0a2ab62a322a01,1,1
14,14,0,2cbd2cab2caa2ca12c952c7a2c5c2c2d,1,1
15,15,0,2bd02bf42c1f2c692c862c8b2ca62ccc,1,1
16,16,0,291a299229d62a422ab52af82b472b78,1,1
17,17,0,24f8258c260e26b6272e27a9282b28a0,1,1
18,18,0,1f40200520cd2175223222d823752436,1,1
19,19,0,184c194a1a2c1b1a1bfb1cce1da81e7b,1,1
20,20,0,1088119a12a8138f147d1584168e1775,1,1
21,21,0,083e093a0a510b5c0c660d7f0e980f78,1,1
22,22,0,ff750089019f02ae03c604f105f6071f,1,1
23,23,0,f6b6f7c5f8eafa0afb0dfc2ffd37fe47,1,1
24,24,0,ee58ef46f064f17cf279f377f48ff5af,1,1
25,25,0,e6a8e78ae881e984ea6eeb58ec51ed58,1,1
26,26,0,dfdde0b7e187e23ee338e403e4efe5c0,1,1
27,27,0,da80db16dbb7dc4add01ddb1de7cdf2d,1,1
28,28,0,d660d6dfd74dd7a6d836d8ced940d9df,1,1
29,29,0,d403d444d47dd4c6d4ffd552d591d60c,1,1
30,30,0,d34ad335d32dd33ad351d380d391d3b4,1,1
31,31,0,d438d400d3b4d392d372d36dd342d332,1,1
32,32,0,d6e5d678d604d5bbd557d4f7d4c1d459,1,1
33,33,0,db20da79d9d3d943d8d7d846d7c7d756,1,1
34,34,0,e0c3e001df34de7fddb2dcf3dc5fdbae,1,1
35,35,0,e784e6a6e5dfe4e7e402e31be261e189,1,1
36,36,0,ef5cee67ed72ec57eb5cea6ae96be889,1,1
37,37,0,f7cff6c2f5b0f4a1f395f280f16ef060,1,1
38,38,0,009aff6bfe77fd4bfc22fb16f9faf8e9,1,1
39,39,0,0951083e0722061304f403d402bc01b3,1,1
40,40,0,119110d20fb40e9f0d870c870b6d0a5c,1,1
41,41,0,195b186b1784167e159114a913ae129d,1,1
42,42,0,200c1f2c1e6c1d9c1cc81bfb1b2c1a47,1,1
43,43,0,257c24e1244723a522f02242217220d7,1,1
44,44,0,2994291b28a6283527af272d26b82615,1,1
45,45,0,2bf52bc32b832b3d2af42aa12a5429e8,1,1
46,46,0,2cc12cb42cb62cb32c902c822c572c2c,1,1
47,47,0,2bbb2c012c2a2c462c702c862cc42cb8,1,1
48,48,0,2919298c29fd2a662aab2aef2b3d2b71,1,1
49,49,0,24e42575261526af272527be283028ac,1,1
50,50,0,1f36201320b5217b222822db23962430,1,1
51,51,0,186519441a311b0b1bea1cb41d9d1e6b,1,1
52,52,0,108a11a5129c13841494158c167f177c,1,1
53,53,0,0829094e0a510b600c850d890e870f8f,1,1
54,54,0,ff75008f01a202a003cf04ef0609070f,1,1
55,55,0,f6c6f7c7f8f1fa07fb1bfc2ffd35fe77,1,1
56,56,0,ee5eef4af06ff171f28ef38df497f5ae,1,1
57,57,0,e6a4e793e890e97fea6feb67ec66ed49,1,1
58,58,0,dfe9e0c1e190e24be31de40ae4cbe5c0,1,1
59,59,0,da7adb12dbb2dc76dd0cddb7de73df3d,1,1
60,60,0,d66fd6d3d744d7b9d841d8cad953d9ea,1,1
61,61,0,d404d427d45bd4b6d4f0d53cd5b6d5f4,1,1
62,62,0,d338d335d342d345d354d380d3a2d3a5,1,1
63,63,0,d430d3fbd3c8d39fd377d374d342d33c,1,1
64,64,0,d6d1d662d60ed5b0d54dd4e8d4b2d451,1,1
65,65,0,db0cda6ed9ded956d8dad848d7c9d74c,1,1
66,66,0,e0b2dff6df3cde70ddbcdd01dc4ddba7,1,1
67,67,0,e79ce6b0e5c2e4e8e411e33de23de16b,1,1
68,68,0,ef64ee49ed4aec57eb5eea7de97de885,1,1
69,69,0,f7c9f6cef5a9f49cf382f283f177f066,1,1
70,70,0,0091ff6afe6dfd44fc36fb1af9dff8ed,1,1
71,71,0,092c083d072a060b050803cf02b6019b,1,1
72,72,0,11a010a00f910e900d900c820b670a56,1,1
73,73,0,195d187917791695159914a713a6129d,1,1
74,74,0,20091f421e701d8f1ce91bfe1aff1a3d,1,1
75,75,0,258c24ec243c239f22e62225217920d3,1,1
76,76,0,2988290828aa284427b6272e26a62626,1,1
77,77,0,2bf72bc22b852b3e2afd2a9d2a4929fa,1,1
78,78,0,2cc52ccc2cb42cad2c9b2c722c542c3b,1,1
79,79,0,2bc62bfd2c452c552c7b2c9f2cbf2caf,1,1
80,80,0,2924298529e62a502a932af92b3e2b94,1,1
81,81,0,24e7257d262526ac273027b1282628b9,1,1
82,82,0,1f34200d20c3218a224822de23a12449,1,1
83,83,0,186919471a2d1b111bf21cce1da21e69,1,1
84,84,0,109711a512a71391148d159816921774,1,1
85,85,0,0816092d0a530b580c6c0d8e0e740f9b,1,1
86,86,0,ff64008401a702af03e704e905ff0723,1,1
87,87,0,f699f7c4f8f1fa0dfb02fc27fd57fe54,1,1
88,88,0,ee6cef5bf06af16df28cf379f48af592,1,1
89,89,0,e6b6e78ce88ce981ea71eb69ec64ed66,1,1
90,90,0,dfe8e0b6e16ce248e32ce40ee4dbe5b4,1,1
91,91,0,da99db00dbb3dc63dd01ddc4de82df2e,1,1
92,92,0,d66ad6c4d74ad7c7d83bd8c9d93dd9ea,1,1
93,93,0,d3f9d42dd457d4a7d4f3d551d5acd5fe,1,1
94,94,0,d350d33dd341d346d35bd384d3a1d3c6,1,1
95,95,0,d43cd3e9d3bed392d379d356d34ad33d,1,1
96,96,0,d6d7d655d610d5a9d553d50ed4b9d473,1,1
97,97,0,db09da71d9f1d956d8bdd82cd7d3d749,1,1
98,98,0,e0b5e007df22de6addc9dd17dc5cdbb0,1,1
99,99,0,e797e6b3e5c2e4f1e409e32fe257e184,1,1
100,100,0,ef4fee59ed5fec55eb60ea6ce974e86d,1,1
101,101,0,f7baf6acf5acf4a5f384f274f16af060,1,1
102,102,0,0084ff64fe74fd45fc34fafbf9edf8da,1,1
103,103,0,093f083c070b05f9050003cf02ad019c,1,1
104,104,0,11a710a30f9c0e860d640c690b630a62,1,1
105,105,0,196718601776168b159d14a313b0129f,1,1
106,106,0,20071f361e771d941cd41be21b111a32,1,1
107,107,0,258a24e2243f239122d02236219920d6,1,1
108,108,0,297b290e2892283627a3273b26af2615,1,1
109,109,0,2bfc2bca2b7c2b4e2af42aa02a4f29ed,1,1
110,110,0,2cda2caf2cb22ca12c8a2c682c542c31,1,1
111,111,0,2bbd2c032c2c2c532c5c2c942c8d2cad,1,1
112,112,0,290e29952a032a312aaf2af42b412b7e,1,1
113,113,0,24d22568260a269b272d27ad284828ae,1,1
114,114,0,1f40200c20c62183223422c823922441,1,1
115,115,0,185919431a341b0c1bf61cd31dad1e75,1,1
116,116,0,1094119112a013981485159f16931786,1,1
117,117,0,081d09380a580b640c7b0d7f0e7e0faa,1,1
118,118,0,ff80009501b402b403cc04ea05fc0724,1,1
119,119,0,f6bef7d0f8ddf9fafb14fc2cfd4efe74,1,1
120,120,0,ee6cef7cf05cf17af27af383f495f5b0,1,1
121,121,0,e69de78ee88ae976ea58eb65ec7ded65,1,1
122,122,0,dff0e0c4e182e250e32de41ce4e7e5d0,1,1
123,123,0,da7bdb1cdbb7dc5bdd01ddb9de69df2a,1,1
124,124,0,d669d6ddd752d7c0d847d8bcd948d9f3,1,1
125,125,0,d3f0d43dd475d4c0d506d54dd5b3d623,1,1
126,126,0,d33dd33bd33fd356d356d369d3bbd3c7,1,1
127,127,0,d42ed3efd3ced397d35dd35ed342d336,1,1
128,128,0,d6d6d659d60fd5a4d540d4f5d4a3d473,1,1
129,129,0,db12da83d9d2d93ed8b1d840d7b4d747,1,1
130,130,0,e09bdfe9df2ede69ddafdce8dc3fdbbb,1,1
131,131,0,e78de6a5e5cce4dee402e324e235e186,1,1
132,132,0,ef51ee4fed65ec75eb56ea6de964e881,1,1
133,133,0,f7e4f6b1f5c5f480f37bf261f165f049,1,1
134,134,0,0084ff8ffe70fd4dfc30fb12f9edf8e8,1,1
135,135,0,094a08100718061604dc03cc02b80199,1,1
136,136,0,119e109e0f870e7d0d740c880b620a52,1,1
137,137,0,1954185b1760168e158e14a2139d129c,1,1
138,138,0,20051f361e7a1d991cc61beb1b181a31,1,1
139,139,0,259324e4243e239622d4222c218320bc,1,1
140,140,0,2988291328af282f2793273e26b82608,1,1
141,141,0,2c012ba72b822b3d2af42a952a4f29fc,1,1
142,142,0,2cc22cb52ccd2cb22c852c742c552c29,1,1
143,143,0,2bb12be82c432c492c772c912ca22cb0,1,1
144,144,0,291729a029e12a452a972b072b482b7e,1,1
145,145,0,24ec2566261726ac273327b7283728bf,1,1
146,146,0,1f441ff020b82177223322e323852448,1,1
147,147,0,185a195e1a261b0d1bf51cd01db41e79,1,1
148,148,0,108911af12b413a814971589168a1764,1,1
149,149,0,083309370a640b600c680d890e910fab,1,1
150,150,0,ff7b009501ab02c803cf04e80608071f,1,1
151,151,0,f6cef7c6f8f3fa02fb30fc2bfd4afe56,1,1
152,152,0,ee5def64f073f16ef271f38ef496f5a7,1,1
153,153,0,e6b8e787e888e985ea65eb6cec6eed67,1,1
154,154,0,dff7e0b9e17ee24de32ee415e4e9e5cf,1,1
155,155,0,da8bdb1edbcadc7add16ddc2de81df39,1,1
156,156,0,d668d6d5d747d7d0d83ad8d9d941d9ec,1,1
157,157,0,d3edd42bd47dd49cd50ad544d5b2d5ff,1,1
158,158,0,d330d341d34ed34cd36dd37bd391d3cd,1,1
159,159,0,d423d3f8d3b6d38dd38ed35ad355d33e,1,1
160,160,0,d6d2d671d601d5aad55dd4fed4add474,1,1
161,161,0,db02da6ed9d6d92ed8b6d84cd7c4d751,1,1
162,162,0,e0b7dfe2df28de83dda9dd14dc56db94,1,1
163,163,0,e792e6a0e5c1e4bee408e32ce24ce183,1,1
164,164,0,ef63ee64ed47ec57eb4bea5fe970e877,1,1
165,165,0,f7caf6b8f5aff4aff391f275f172f04f,1,1
166,166,0,008eff6bfe47fd3dfc20fafbfa08f8ec,1,1
167,167,0,094d083d0712060f04ee03ce02b701a4,1,1
168,168,0,1187109d0fa60e7a0d7f0c760b550a47,1,1
169,169,0,194d1862178116861590148d139312a4,1,1
170,170,0,20071f3a1e771d981ccb1bfc1b241a21,1,1
171,171,0,257524e32450239522e8223b219320c2,1,1
172,172,0,29752914289b283427a5271c26ac2617,1,1
173,173,0,2c092bb62b802b312ae72aa22a4929e8,1,1
